date,arrival,departure,slot_arrival,slot_departure,holiday_type
2003.7.2,23736,25465,,,0
2003.7.3,25103,26898,,,0
2003.7.4,24786,25134,,,0
2003.7.5,27706,24566,,,1
2003.7.6,27623,25289,,,1
2003.7.7,25447,27096,,,0
2003.7.8,22252,23607,,,0
2003.7.9,24526,26336,,,0
2003.7.10,24435,28015,,,0
2003.7.11,24597,28915,,,0
2003.7.12,27035,27786,,,1
2003.7.13,28623,29766,,,1
2003.7.14,26702,30632,,,0
2003.7.15,24423,27364,,,0
2003.7.16,25434,33472,,,0
2003.7.17,28620,34498,,,1
2003.7.18,27983,28675,,,0
2003.7.19,32531,28152,,,1
2003.7.20,36974,30195,,,1
2003.7.21,30716,31129,,,0
2003.7.22,24356,28491,,,0
2003.7.23,27885,30841,,,0
2003.7.24,27219,32427,,,0
2003.7.25,27622,33904,,,0
2003.7.26,30282,33978,,,1
2003.7.27,32837,36982,,,1
2003.7.28,30616,35140,,,0
2003.7.29,27873,31315,,,0
2003.7.30,30826,38058,,,0
2003.7.31,32745,38591,,,0
2003.8.1,32114,43136,,,0
2003.8.2,38274,37207,,,1
2003.8.3,45009,37487,,,1
2003.8.4,39855,35807,,,0
2003.8.5,33700,30065,,,0
2003.8.6,37179,33844,,,0
2003.8.7,35861,30454,,,0
2003.8.8,35763,32084,,,0
2003.8.9,37785,33947,,,1
2003.8.10,40063,33815,,,1
2003.8.11,35854,33995,,,0
2003.8.12,32461,30978,,,0
2003.8.13,36202,36536,,,0
2003.8.14,35419,39874,,,0
2003.8.15,37565,42566,,,1
2003.8.16,38216,32703,,,1
2003.8.17,49786,33761,,,1
2003.8.18,42385,34225,,,0
2003.8.19,36485,29224,,,0
2003.8.20,37004,34124,,,0
2003.8.21,36938,32390,,,0
2003.8.22,34635,32688,,,0
2003.8.23,34899,31833,,,1
2003.8.24,40076,33825,,,1
2003.8.25,35281,34783,,,0
2003.8.26,30457,28845,,,0
2003.8.27,31200,32832,,,0
2003.8.28,32098,32441,,,0
2003.8.29,30246,30870,,,0
2003.8.30,30878,30317,,,1
2003.8.31,32739,31088,,,1
2003.9.1,28158,28336,,,0
2003.9.2,25753,24444,,,0
2003.9.3,26371,27621,,,0
2003.9.4,26500,25604,,,0
2003.9.5,26121,27126,,,0
2003.9.6,27406,29376,,,1
2003.9.7,28693,29510,,,1
2003.9.8,22802,24867,,,0
2003.9.9,17845,37837,,,0
2003.9.10,18763,43308,,,3
2003.9.11,17595,27163,,,3
2003.9.12,27490,23669,,,3
2003.9.13,40743,18312,,,3
2003.9.14,47295,23398,,,3
2003.9.15,37171,28574,,,0
2003.9.16,29294,27030,,,0
2003.9.17,26593,29056,,,0
2003.9.18,25642,28864,,,0
2003.9.19,25229,28985,,,0
2003.9.20,30434,27907,,,1
2003.9.21,33269,30191,,,1
2003.9.22,28728,32368,,,0
2003.9.23,25968,31623,,,0
2003.9.24,27442,30290,,,0
2003.9.25,30331,31139,,,0
2003.9.26,30979,30109,,,0
2003.9.27,33562,29141,,,1
2003.9.28,33761,31276,,,1
2003.9.29,31289,30021,,,0
2003.9.30,26965,27371,,,0
