date,arrival,departure,slot_arrival,slot_departure
2003.12.30,27095,31182,,
2003.12.31,26513,35651,,
2004.1.1,22812,34048,,
2004.1.2,21631,32480,,
2004.1.3,27754,36041,,
2004.1.4,38232,37660,,
2004.1.5,30919,37807,,
2004.1.6,24997,36118,,
2004.1.7,24956,36126,,
2004.1.8,26249,35177,,
2004.1.9,26944,33106,,
2004.1.10,33929,32453,,
2004.1.11,36992,32504,,
2004.1.12,33626,34773,,
2004.1.13,30610,30065,,
2004.1.14,31248,29360,,
2004.1.15,34720,30542,,
2004.1.16,34914,28946,,
2004.1.17,36465,31677,,
2004.1.18,37201,30452,,
2004.1.19,32566,29088,,
2004.1.20,27159,37617,,
2004.1.21,24132,43562,,
2004.1.22,25233,29820,,
2004.1.23,31148,27926,,
2004.1.24,39537,25950,,
2004.1.25,51787,32207,,
2004.1.26,41558,35108,,
2004.1.27,33506,35227,,
2004.1.28,31240,35688,,
2004.1.29,30453,35917,,
2004.1.30,27092,34113,,
2004.1.31,31148,32890,,
2004.2.1,35719,33513,,
2004.2.2,32650,32294,,
2004.2.3,28094,28667,,
2004.2.4,29279,30653,,
2004.2.5,30648,30996,,
2004.2.6,30427,29690,,
2004.2.7,32389,28163,,
2004.2.8,37310,29869,,
2004.2.9,31248,28452,,
2004.2.10,26476,25600,,
2004.2.11,29131,27904,,
2004.2.12,27659,29526,,
2004.2.13,27388,29704,,
2004.2.14,30306,29278,,
2004.2.15,35709,32708,,
2004.2.16,31570,33096,,
2004.2.17,27344,27542,,
2004.2.18,29070,29801,,
2004.2.19,31395,32214,,
2004.2.20,30599,32245,,
2004.2.21,32619,30925,,
2004.2.22,36681,30877,,
2004.2.23,33881,32219,,
2004.2.24,29800,28369,,
2004.2.25,30501,30814,,
2004.2.26,31782,33216,,
2004.2.27,32746,36779,,
2004.2.28,34375,38066,,
2004.2.29,38605,29182,,
2004.3.1,47250,23561,,
2004.3.2,32517,20919,,
2004.3.3,26202,24974,,
2004.3.4,24392,25176,,
2004.3.5,24748,26025,,
2004.3.6,26108,24151,,
2004.3.7,28805,26168,,
2004.3.8,26324,25408,,
2004.3.9,21996,23542,,
2004.3.10,25030,27191,,
2004.3.11,25682,26356,,
2004.3.12,27728,27169,,
2004.3.13,28199,26292,,
2004.3.14,30922,28840,,
2004.3.15,28101,28785,,
2004.3.16,22895,24810,,
2004.3.17,23618,29075,,
2004.3.18,26722,29560,,
2004.3.19,28033,28906,,
2004.3.20,29627,27509,,
2004.3.21,33100,27765,,
2004.3.22,28370,28359,,
2004.3.23,23858,24817,,
2004.3.24,26163,28490,,
2004.3.25,28815,28213,,
2004.3.26,30588,29824,,
2004.3.27,30970,29319,,
2004.3.28,36179,30878,,
2004.3.29,31071,31397,,
2004.3.30,25468,27967,,
2004.3.31,25937,32687,,
2004.4.1,27512,32408,,
2004.4.2,26802,37594,,
2004.4.3,29676,40916,,
2004.4.4,31104,28393,,
2004.4.5,44997,23451,,
2004.4.6,33061,21393,,
2004.4.7,28417,26143,,
2004.4.8,26762,26414,,
2004.4.9,28567,26054,,
2004.4.10,29063,25606,,
2004.4.11,30812,26958,,
2004.4.12,28067,29718,,
2004.4.13,23364,24136,,
2004.4.14,25290,28936,,
2004.4.15,26026,33324,,
2004.4.16,25003,30080,,
2004.4.17,28821,29024,,
2004.4.18,33947,31087,,
2004.4.19,29666,32388,,
2004.4.20,25524,28530,,
2004.4.21,26258,31736,,
2004.4.22,29484,30671,,
2004.4.23,30200,32123,,
2004.4.24,32368,30093,,
2004.4.25,34779,33195,,
2004.4.26,30964,32632,,
2004.4.27,26162,27139,,
2004.4.28,31596,29113,,
2004.4.29,37591,29684,,
2004.4.30,36765,29788,,
2004.5.1,38346,30031,,
2004.5.2,39213,29531,,
2004.5.3,31096,27846,,
2004.5.4,24295,29534,,
2004.5.5,28957,36758,,
2004.5.6,25981,30145,,
2004.5.7,23086,28597,,
2004.5.8,25430,27697,,
2004.5.9,31322,31648,,
2004.5.10,28995,31075,,
2004.5.11,23392,25607,,
2004.5.12,25357,29634,,
2004.5.13,29132,30229,,
2004.5.14,30462,30106,,
2004.5.15,31976,28147,,
2004.5.16,34969,32946,,
2004.5.17,31165,31654,,
2004.5.18,25228,27298,,
2004.5.19,27651,30820,,
2004.5.20,31462,32448,,
2004.5.21,32458,33109,,
2004.5.22,32564,33486,,
2004.5.23,36168,34063,,
2004.5.24,31742,29767,,
2004.5.25,26785,28131,,
2004.5.26,33999,33487,,
2004.5.27,31860,29910,,
2004.5.28,30967,29356,,
2004.5.29,31664,27540,,
2004.5.30,36852,29927,,
2004.5.31,31638,28777,,
2004.6.1,24967,25415,,
2004.6.2,27257,29164,,
2004.6.3,30144,30227,,
2004.6.4,30062,28882,,
2004.6.5,31735,29160,,
2004.6.6,36256,31405,,
2004.6.7,31446,32448,,
2004.6.8,26188,27943,,
2004.6.9,26808,30310,,
2004.6.10,31206,33160,,
2004.6.11,32638,31062,,
2004.6.12,34643,29471,,
2004.6.13,38035,33197,,
2004.6.14,32694,33085,,
2004.6.15,27838,29533,,
2004.6.16,28512,32656,,
2004.6.17,31763,33302,,
2004.6.18,33037,34165,,
2004.6.19,35349,32607,,
2004.6.20,39687,36643,,
2004.6.21,35150,35704,,
2004.6.22,29564,31406,,
2004.6.23,30339,37140,,
2004.6.24,33648,37436,,
2004.6.25,35097,37405,,
2004.6.26,37549,36143,,
2004.6.27,38373,37447,,
2004.6.28,36253,38210,,
2004.6.29,32575,33273,,
2004.6.30,34018,38171,,
2004.7.1,35224,33202,,
2004.7.2,32922,31705,,
2004.7.3,36844,31345,,
2004.7.4,37900,34570,,
2004.7.5,35290,35165,,
2004.7.6,30401,30115,,
2004.7.7,31140,34018,,
2004.7.8,33296,35071,,
2004.7.9,33199,34176,,
2004.7.10,34446,35009,,
2004.7.11,37018,37583,,
2004.7.12,33726,36270,,
2004.7.13,30540,32559,,
